m,n,k,count,wall_avg_us,gpu_avg_us,gflops,tflops_wall,tflops_gpu,precision
1024,6144,1536,50,120121.702,97133.655,19.327353,0.160898,0.198977,fp16
1024,1536,4096,50,92184.096,67170.371,12.884902,0.139774,0.191824,fp16
