sh temp.sh 실행 시 결과는 아래와 같아

memcpy 안하는 방법 없을까? gemm_int4_cl_adreno안에 clCreateBuffer가 문제가 되는 걸 수도 있어

<|im_start|>assistant
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.24 repack=0.03 fp32->fp16=0.00 gemm=9.28 fp16->fp32=2.55 | total=13.09 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.84 repack=0.02 fp32->fp16=3.99 gemm=9.36 fp16->fp32=0.45 | total=14.66 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.35 repack=0.02 fp32->fp16=1.53 gemm=3.84 fp16->fp32=1.25 | total=6.99 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.17 repack=0.02 fp32->fp16=0.00 gemm=1.71 fp16->fp32=0.31 | total=2.22 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.18 repack=0.02 fp32->fp16=0.00 gemm=1.75 fp16->fp32=0.31 | total=2.26 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.26 repack=0.01 fp32->fp16=1.35 gemm=4.07 fp16->fp32=0.29 | total=5.99 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.62 repack=0.01 fp32->fp16=1.52 gemm=8.19 fp16->fp32=1.25 | total=11.59 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.69 repack=0.01 fp32->fp16=0.00 gemm=9.14 fp16->fp32=1.26 | total=11.11 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.57 repack=0.01 fp32->fp16=2.77 gemm=9.16 fp16->fp32=0.29 | total=12.81 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.38 repack=0.01 fp32->fp16=1.63 gemm=3.76 fp16->fp32=0.81 | total=6.59 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.12 repack=0.01 fp32->fp16=0.00 gemm=1.65 fp16->fp32=0.20 | total=1.99 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.14 repack=0.02 fp32->fp16=0.00 gemm=1.74 fp16->fp32=0.24 | total=2.14 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.02 fp32->fp16=1.34 gemm=4.06 fp16->fp32=0.30 | total=5.99 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.01 fp32->fp16=1.51 gemm=8.19 fp16->fp32=1.52 | total=11.85 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.13 repack=0.02 fp32->fp16=0.00 gemm=9.32 fp16->fp32=2.49 | total=12.96 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.11 repack=0.03 fp32->fp16=4.76 gemm=9.40 fp16->fp32=0.50 | total=15.81 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.71 repack=0.04 fp32->fp16=2.27 gemm=4.11 fp16->fp32=1.52 | total=8.66 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.49 | total=2.50 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.27 repack=0.03 fp32->fp16=0.00 gemm=1.80 fp16->fp32=0.53 | total=2.63 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.26 repack=0.02 fp32->fp16=1.36 gemm=4.06 fp16->fp32=0.30 | total=6.00 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.65 repack=0.01 fp32->fp16=1.50 gemm=8.24 fp16->fp32=1.22 | total=11.62 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.02 fp32->fp16=0.00 gemm=9.28 fp16->fp32=3.55 | total=13.46 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.10 repack=0.04 fp32->fp16=4.87 gemm=9.35 fp16->fp32=0.59 | total=15.95 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.43 repack=0.03 fp32->fp16=1.99 gemm=4.17 fp16->fp32=1.50 | total=8.12 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.76 fp16->fp32=0.37 | total=2.37 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.47 | total=2.52 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.02 fp32->fp16=1.34 gemm=4.06 fp16->fp32=0.29 | total=5.97 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.01 fp32->fp16=1.49 gemm=8.26 fp16->fp32=1.21 | total=11.59 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.64 repack=0.02 fp32->fp16=0.00 gemm=9.38 fp16->fp32=4.18 | total=14.22 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.12 repack=0.02 fp32->fp16=4.03 gemm=9.39 fp16->fp32=0.50 | total=15.07 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.92 repack=0.05 fp32->fp16=2.68 gemm=4.08 fp16->fp32=2.01 | total=9.74 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.27 repack=0.03 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.47 | total=2.55 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.28 repack=0.05 fp32->fp16=0.00 gemm=1.82 fp16->fp32=0.47 | total=2.62 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.26 repack=0.02 fp32->fp16=1.37 gemm=4.04 fp16->fp32=0.30 | total=6.00 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.02 fp32->fp16=1.47 gemm=8.24 fp16->fp32=1.79 | total=12.14 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.79 repack=0.02 fp32->fp16=0.00 gemm=9.42 fp16->fp32=3.11 | total=13.34 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.85 repack=0.03 fp32->fp16=4.16 gemm=12.53 fp16->fp32=0.45 | total=18.01 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.39 repack=0.06 fp32->fp16=2.29 gemm=4.21 fp16->fp32=1.50 | total=8.47 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.22 repack=0.04 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.37 | total=2.44 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.27 repack=0.03 fp32->fp16=0.00 gemm=1.90 fp16->fp32=0.47 | total=2.68 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.59 gemm=4.15 fp16->fp32=0.38 | total=6.44 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.73 repack=0.01 fp32->fp16=1.64 gemm=8.31 fp16->fp32=3.05 | total=13.76 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.40 repack=0.04 fp32->fp16=0.00 gemm=9.74 fp16->fp32=5.04 | total=16.23 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.90 repack=0.02 fp32->fp16=4.09 gemm=12.02 fp16->fp32=0.77 | total=17.80 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.58 repack=0.05 fp32->fp16=2.02 gemm=4.10 fp16->fp32=1.25 | total=8.02 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.19 repack=0.03 fp32->fp16=0.00 gemm=1.76 fp16->fp32=0.31 | total=2.29 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.17 repack=0.02 fp32->fp16=0.00 gemm=1.99 fp16->fp32=0.31 | total=2.49 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.60 gemm=4.16 fp16->fp32=0.39 | total=6.48 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.70 repack=0.01 fp32->fp16=1.67 gemm=8.33 fp16->fp32=1.99 | total=12.72 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.94 repack=0.01 fp32->fp16=0.00 gemm=9.58 fp16->fp32=6.19 | total=16.72 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.89 repack=0.02 fp32->fp16=4.05 gemm=12.74 fp16->fp32=1.59 | total=19.30 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=1.00 repack=0.07 fp32->fp16=2.86 gemm=4.27 fp16->fp32=1.97 | total=10.18 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.29 repack=0.05 fp32->fp16=0.00 gemm=1.93 fp16->fp32=0.47 | total=2.75 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.28 repack=0.05 fp32->fp16=0.00 gemm=1.93 fp16->fp32=0.47 | total=2.74 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.36 repack=0.02 fp32->fp16=1.63 gemm=4.46 fp16->fp32=0.38 | total=6.86 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.69 repack=0.02 fp32->fp16=1.69 gemm=8.29 fp16->fp32=3.05 | total=13.73 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.39 repack=0.04 fp32->fp16=0.00 gemm=9.45 fp16->fp32=5.13 | total=16.02 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.89 repack=0.02 fp32->fp16=4.13 gemm=9.68 fp16->fp32=0.77 | total=15.49 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.58 repack=0.03 fp32->fp16=2.05 gemm=4.14 fp16->fp32=1.50 | total=8.31 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.23 repack=0.04 fp32->fp16=0.00 gemm=1.78 fp16->fp32=0.37 | total=2.42 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.30 repack=0.04 fp32->fp16=0.00 gemm=1.86 fp16->fp32=0.31 | total=2.51 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.62 gemm=4.10 fp16->fp32=0.38 | total=6.42 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.66 repack=0.02 fp32->fp16=1.74 gemm=8.58 fp16->fp32=1.52 | total=12.52 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.69 repack=0.02 fp32->fp16=0.00 gemm=9.71 fp16->fp32=6.16 | total=16.58 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.84 repack=0.02 fp32->fp16=4.07 gemm=9.39 fp16->fp32=0.50 | total=14.82 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.89 repack=0.05 fp32->fp16=2.72 gemm=4.17 fp16->fp32=1.50 | total=9.33 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.22 repack=0.04 fp32->fp16=0.00 gemm=1.83 fp16->fp32=0.37 | total=2.47 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.22 repack=0.04 fp32->fp16=0.00 gemm=1.86 fp16->fp32=0.37 | total=2.50 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.28 repack=0.03 fp32->fp16=1.61 gemm=4.18 fp16->fp32=0.38 | total=6.49 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.70 repack=0.02 fp32->fp16=1.64 gemm=8.30 fp16->fp32=3.04 | total=13.70 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.43 repack=0.04 fp32->fp16=0.00 gemm=9.89 fp16->fp32=4.68 | total=16.05 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.84 repack=0.05 fp32->fp16=3.99 gemm=9.52 fp16->fp32=0.92 | total=15.34 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.70 repack=0.06 fp32->fp16=2.28 gemm=4.13 fp16->fp32=1.51 | total=8.68 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.23 repack=0.04 fp32->fp16=0.00 gemm=1.79 fp16->fp32=0.37 | total=2.43 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.76 fp16->fp32=0.37 | total=2.36 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.60 gemm=4.53 fp16->fp32=0.41 | total=6.86 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.69 repack=0.02 fp32->fp16=1.67 gemm=8.33 fp16->fp32=3.06 | total=13.77 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.43 repack=0.05 fp32->fp16=0.00 gemm=9.48 fp16->fp32=3.28 | total=14.24 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.90 repack=0.02 fp32->fp16=4.03 gemm=9.38 fp16->fp32=0.50 | total=14.82 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.91 repack=0.05 fp32->fp16=2.76 gemm=4.07 fp16->fp32=1.08 | total=8.87 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.17 repack=0.03 fp32->fp16=0.00 gemm=1.74 fp16->fp32=0.26 | total=2.21 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.15 repack=0.01 fp32->fp16=0.00 gemm=1.79 fp16->fp32=0.26 | total=2.21 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.61 gemm=4.12 fp16->fp32=0.39 | total=6.44 ms
