sh temp.sh 실행 시 결과는 아래와 같아

memcpy 안하는 방법 없을까? gemm_int4_cl_adreno안에 clCreateBuffer가 문제가 되는 걸 수도 있어

<|im_start|>assistant
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.28 repack=0.03 fp32->fp16=0.00 gemm=1.80 fp16->fp32=0.31 | total=2.42 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.66 gemm=4.44 fp16->fp32=0.40 | total=6.81 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.76 repack=0.02 fp32->fp16=1.70 gemm=8.42 fp16->fp32=2.27 | total=13.18 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.04 repack=0.02 fp32->fp16=0.00 gemm=9.83 fp16->fp32=6.08 | total=16.98 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.91 repack=0.02 fp32->fp16=4.00 gemm=9.77 fp16->fp32=0.50 | total=15.21 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.01 kai_copy=0.90 repack=0.09 fp32->fp16=2.45 gemm=4.17 fp16->fp32=1.50 | total=9.13 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.23 repack=0.03 fp32->fp16=0.00 gemm=1.89 fp16->fp32=0.37 | total=2.52 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.22 repack=0.03 fp32->fp16=0.00 gemm=1.82 fp16->fp32=0.37 | total=2.45 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.60 gemm=4.52 fp16->fp32=0.38 | total=6.82 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.65 repack=0.02 fp32->fp16=1.65 gemm=8.38 fp16->fp32=3.09 | total=13.80 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.41 repack=0.03 fp32->fp16=0.00 gemm=9.80 fp16->fp32=6.15 | total=17.39 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.86 repack=0.02 fp32->fp16=4.08 gemm=11.39 fp16->fp32=0.50 | total=16.85 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.01 kai_copy=1.20 repack=0.12 fp32->fp16=3.32 gemm=4.37 fp16->fp32=1.93 | total=10.96 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.28 repack=0.04 fp32->fp16=0.00 gemm=1.92 fp16->fp32=0.47 | total=2.72 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.28 repack=0.04 fp32->fp16=0.00 gemm=1.82 fp16->fp32=0.47 | total=2.62 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.29 repack=0.02 fp32->fp16=1.60 gemm=4.13 fp16->fp32=0.38 | total=6.42 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.66 repack=0.02 fp32->fp16=1.72 gemm=8.62 fp16->fp32=3.03 | total=14.04 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.41 repack=0.03 fp32->fp16=0.00 gemm=9.32 fp16->fp32=4.86 | total=15.62 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.89 repack=0.02 fp32->fp16=4.03 gemm=12.28 fp16->fp32=1.19 | total=18.40 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.94 repack=0.05 fp32->fp16=2.24 gemm=4.02 fp16->fp32=1.50 | total=8.77 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.70 fp16->fp32=0.37 | total=2.31 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.31 repack=0.04 fp32->fp16=0.00 gemm=1.80 fp16->fp32=0.47 | total=2.63 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.26 repack=0.02 fp32->fp16=1.34 gemm=4.08 fp16->fp32=0.26 | total=5.96 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.65 repack=0.01 fp32->fp16=1.48 gemm=8.23 fp16->fp32=1.28 | total=11.65 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.66 repack=0.01 fp32->fp16=0.00 gemm=9.28 fp16->fp32=3.57 | total=13.53 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.90 repack=0.02 fp32->fp16=4.01 gemm=9.52 fp16->fp32=0.65 | total=15.10 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.50 repack=0.02 fp32->fp16=1.86 gemm=4.10 fp16->fp32=1.50 | total=7.99 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.72 fp16->fp32=0.37 | total=2.33 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.01 fp32->fp16=0.00 gemm=1.73 fp16->fp32=0.37 | total=2.32 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.03 fp32->fp16=1.36 gemm=4.06 fp16->fp32=0.28 | total=6.00 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.62 repack=0.01 fp32->fp16=1.49 gemm=8.19 fp16->fp32=1.18 | total=11.50 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.07 repack=0.01 fp32->fp16=0.00 gemm=9.31 fp16->fp32=2.20 | total=12.60 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.16 repack=0.02 fp32->fp16=4.92 gemm=9.37 fp16->fp32=0.57 | total=16.04 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.48 repack=0.03 fp32->fp16=2.30 gemm=4.11 fp16->fp32=1.50 | total=8.42 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.71 fp16->fp32=0.37 | total=2.32 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.26 repack=0.01 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.47 | total=2.52 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.02 fp32->fp16=1.37 gemm=4.05 fp16->fp32=0.29 | total=5.99 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.62 repack=0.01 fp32->fp16=1.49 gemm=8.30 fp16->fp32=1.18 | total=11.60 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.65 repack=0.01 fp32->fp16=0.00 gemm=9.32 fp16->fp32=4.57 | total=14.55 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.11 repack=0.02 fp32->fp16=4.65 gemm=9.72 fp16->fp32=0.50 | total=16.00 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.88 repack=0.09 fp32->fp16=2.79 gemm=4.13 fp16->fp32=1.97 | total=9.87 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.27 repack=0.03 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.47 | total=2.58 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.28 repack=0.04 fp32->fp16=0.00 gemm=1.84 fp16->fp32=0.47 | total=2.64 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.02 fp32->fp16=1.37 gemm=4.04 fp16->fp32=0.28 | total=5.97 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.62 repack=0.01 fp32->fp16=1.49 gemm=8.25 fp16->fp32=1.43 | total=11.80 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.87 repack=0.02 fp32->fp16=0.00 gemm=9.36 fp16->fp32=1.92 | total=12.18 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.03 repack=0.02 fp32->fp16=4.88 gemm=9.36 fp16->fp32=0.65 | total=15.94 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.49 repack=0.02 fp32->fp16=1.85 gemm=4.20 fp16->fp32=1.52 | total=8.09 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.02 fp32->fp16=0.00 gemm=1.90 fp16->fp32=0.37 | total=2.51 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.21 repack=0.03 fp32->fp16=0.00 gemm=1.79 fp16->fp32=0.37 | total=2.40 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.26 repack=0.01 fp32->fp16=1.36 gemm=4.11 fp16->fp32=0.35 | total=6.10 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.69 repack=0.01 fp32->fp16=1.44 gemm=8.31 fp16->fp32=1.33 | total=11.77 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.67 repack=0.01 fp32->fp16=0.00 gemm=9.62 fp16->fp32=6.17 | total=16.47 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.66 repack=0.03 fp32->fp16=3.21 gemm=9.84 fp16->fp32=0.33 | total=14.07 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.30 repack=0.02 fp32->fp16=1.32 gemm=3.73 fp16->fp32=0.54 | total=5.92 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.12 repack=0.02 fp32->fp16=0.00 gemm=1.66 fp16->fp32=0.15 | total=1.96 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.10 repack=0.01 fp32->fp16=0.00 gemm=1.63 fp16->fp32=0.15 | total=1.89 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.02 fp32->fp16=1.55 gemm=4.41 fp16->fp32=0.38 | total=6.63 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.63 repack=0.01 fp32->fp16=1.43 gemm=8.22 fp16->fp32=1.30 | total=11.60 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=1.13 repack=0.03 fp32->fp16=0.00 gemm=9.18 fp16->fp32=2.58 | total=12.91 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.64 repack=0.02 fp32->fp16=3.25 gemm=9.24 fp16->fp32=0.50 | total=13.66 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.38 repack=0.02 fp32->fp16=1.56 gemm=3.75 fp16->fp32=1.26 | total=6.98 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.18 repack=0.02 fp32->fp16=0.00 gemm=1.70 fp16->fp32=0.31 | total=2.22 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.20 repack=0.02 fp32->fp16=0.00 gemm=1.74 fp16->fp32=0.31 | total=2.26 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.27 repack=0.02 fp32->fp16=1.34 gemm=4.06 fp16->fp32=0.30 | total=5.99 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.61 repack=0.01 fp32->fp16=1.51 gemm=8.25 fp16->fp32=1.26 | total=11.65 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.62 repack=0.02 fp32->fp16=0.00 gemm=9.27 fp16->fp32=4.54 | total=14.45 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.11 repack=0.03 fp32->fp16=4.64 gemm=9.96 fp16->fp32=0.50 | total=16.24 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.90 repack=0.04 fp32->fp16=2.67 gemm=4.20 fp16->fp32=1.96 | total=9.77 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.39 repack=0.03 fp32->fp16=0.00 gemm=2.08 fp16->fp32=0.47 | total=2.98 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.51 repack=0.03 fp32->fp16=0.00 gemm=1.93 fp16->fp32=0.47 | total=2.96 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.30 repack=0.02 fp32->fp16=1.59 gemm=4.48 fp16->fp32=0.39 | total=6.78 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.91 repack=0.02 fp32->fp16=1.79 gemm=8.64 fp16->fp32=2.01 | total=13.37 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.92 repack=0.02 fp32->fp16=0.00 gemm=9.38 fp16->fp32=3.55 | total=13.88 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=1.10 repack=0.03 fp32->fp16=4.60 gemm=9.29 fp16->fp32=0.50 | total=15.52 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.58 repack=0.03 fp32->fp16=1.99 gemm=4.11 fp16->fp32=1.25 | total=7.95 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.19 repack=0.02 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.39 | total=2.38 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.32 repack=0.02 fp32->fp16=0.00 gemm=1.92 fp16->fp32=0.37 | total=2.64 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.31 repack=0.03 fp32->fp16=1.75 gemm=4.38 fp16->fp32=0.41 | total=6.88 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.66 repack=0.02 fp32->fp16=1.58 gemm=8.17 fp16->fp32=1.57 | total=12.01 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.70 repack=0.02 fp32->fp16=0.00 gemm=9.62 fp16->fp32=1.44 | total=11.78 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.68 repack=0.02 fp32->fp16=5.64 gemm=9.33 fp16->fp32=0.49 | total=16.17 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.34 repack=0.03 fp32->fp16=1.46 gemm=3.71 fp16->fp32=0.63 | total=6.18 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.10 repack=0.02 fp32->fp16=0.00 gemm=1.65 fp16->fp32=0.15 | total=1.92 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.10 repack=0.01 fp32->fp16=0.00 gemm=1.63 fp16->fp32=0.15 | total=1.89 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.30 repack=0.02 fp32->fp16=1.60 gemm=4.06 fp16->fp32=0.40 | total=6.39 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.66 repack=0.01 fp32->fp16=1.59 gemm=8.19 fp16->fp32=1.56 | total=12.01 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.71 repack=0.02 fp32->fp16=0.00 gemm=9.16 fp16->fp32=1.44 | total=11.35 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.73 repack=0.02 fp32->fp16=5.71 gemm=9.47 fp16->fp32=0.49 | total=16.43 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.41 repack=0.03 fp32->fp16=1.59 gemm=4.20 fp16->fp32=0.80 | total=7.03 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.16 repack=0.03 fp32->fp16=0.00 gemm=1.77 fp16->fp32=0.15 | total=2.12 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.10 repack=0.01 fp32->fp16=0.00 gemm=1.74 fp16->fp32=0.15 | total=2.01 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.36 repack=0.04 fp32->fp16=1.60 gemm=4.19 fp16->fp32=0.40 | total=6.59 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.71 repack=0.02 fp32->fp16=1.75 gemm=8.64 fp16->fp32=1.61 | total=12.74 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.71 repack=0.02 fp32->fp16=0.00 gemm=9.21 fp16->fp32=1.41 | total=11.36 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.65 repack=0.02 fp32->fp16=3.36 gemm=9.29 fp16->fp32=0.40 | total=13.73 ms
[GPU dotQInt] M=437 K=2560 N=4096 | alloc=0.00 kai_copy=0.33 repack=0.02 fp32->fp16=1.44 gemm=3.81 fp16->fp32=0.67 | total=6.28 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.16 repack=0.02 fp32->fp16=0.00 gemm=1.75 fp16->fp32=0.16 | total=2.10 ms
[GPU dotQInt] M=437 K=2560 N=1024 | alloc=0.00 kai_copy=0.10 repack=0.01 fp32->fp16=0.00 gemm=1.81 fp16->fp32=0.20 | total=2.13 ms
[GPU dotQInt] M=437 K=4096 N=2560 | alloc=0.00 kai_copy=0.38 repack=0.04 fp32->fp16=1.67 gemm=4.42 fp16->fp32=0.39 | total=6.90 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.74 repack=0.01 fp32->fp16=1.71 gemm=8.58 fp16->fp32=1.79 | total=12.83 ms
[GPU dotQInt] M=437 K=2560 N=9728 | alloc=0.00 kai_copy=0.84 repack=0.01 fp32->fp16=0.00 gemm=9.78 fp16->fp32=6.16 | total=16.79 ms
[GPU dotQInt] M=437 K=9728 N=2560 | alloc=0.00 kai_copy=0.85 repack=0.03 fp32->fp16=4.01 gemm=9.39 fp16->fp32=0.50 | total=14.78 ms
<think>
Okay, the user wants a summary of this academic abstract, three sentences in English. Let me read through the text again to make sure I understand the key points.

First, the paper is about a new model called Thyme that enhances image processing and reasoning. It's a response to OpenAI's "thinking with images" concept. The main contributions are the new approach for multimodal models that can handle both image tasks and code generation. The model uses a two-stage training: SFT and RL, with a specific algorithm (GRPO-ATS) to balance reasoning and code execution. They also mention the experimental results, showing performance

=================[ LLM with NNTrainer ]===================
prefill: 437 tokens, 5189 ms, 84.2166 TPS
generation: 128 tokens, 7066 ms, 18.1149 TPS
==========================================================
[e2e time]: 15262 ms 
Max Resident Set Size: 2553244 KB
/data/local/tmp/nntrainer/test/logs/./: 1 file pulled. 7.4 MB/s (481547 bytes in 0.062s)
