label,subgraph_idx,subgraph_name,op_idx,op_type,m,n,k,input_shapes,output_shapes
prefill-decode,0,decode,431,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,436,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,441,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,446,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,453,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,456,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,459,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,491,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,497,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,499,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,504,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,509,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,514,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,521,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,524,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,527,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,559,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,565,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,567,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,572,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,577,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,582,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,589,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,592,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,595,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,627,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,633,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,635,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,640,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,645,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,650,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,657,FULLY_CONNECTED,1,4096,1536,1,1,1536|4096,1536|,1,1,4096
prefill-decode,0,decode,660,FULLY_CONNECTED,1,512,1536,1,1,1536|512,1536|,1,1,512
prefill-decode,0,decode,663,FULLY_CONNECTED,1,512,1536,1,1,1536|512,1536|,1,1,512
prefill-decode,0,decode,695,FULLY_CONNECTED,1,1536,4096,1,1,4096|1536,4096|,1,1,1536
prefill-decode,0,decode,701,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,703,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,708,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,713,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,718,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,725,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,728,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,731,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,763,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,769,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,771,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,776,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,781,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,786,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,793,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,796,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,799,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,831,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,837,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,839,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,844,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,849,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,854,FULLY_CONNECTED,1,1536,256,1,1,256|1536,256|,1,1,1536
prefill-decode,0,decode,861,FULLY_CONNECTED,1,2048,1536,1,1,1536|2048,1536|,1,1,2048
prefill-decode,0,decode,864,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,867,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
prefill-decode,0,decode,899,FULLY_CONNECTED,1,1536,2048,1,1,2048|1536,2048|,1,1,1536
prefill-decode,0,decode,905,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,907,FULLY_CONNECTED,1,6144,1536,1,1,1536|6144,1536|,1,1,6144
prefill-decode,0,decode,912,FULLY_CONNECTED,1,1536,6144,1,1,6144|1536,6144|,1,1,1536
prefill-decode,0,decode,917,FULLY_CONNECTED,1,256,1536,1,1,1536|256,1536|,1,1,256
